year,age,sex,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2004,47,M,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Y,5.607,272.295
2008,52,M,Married,Black,College Grad,Middle Atlantic,Industrial,Very Good,N,4.544,94.073
2007,23,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.398,81.283
2004,33,M,Married,White,College Grad,Middle Atlantic,Information,Good,N,4.477,87.981
2005,37,M,Never Married,Asian,College Grad,Middle Atlantic,Information,Good,Y,4.699,109.834
2008,34,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.387,80.430
2003,51,M,Separated,White,HS Grad,Middle Atlantic,Industrial,Good,Y,5.000,148.413
2007,40,M,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Y,5.000,148.413
2007,50,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.398,81.283
2005,64,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.778,118.884
2008,54,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.388,80.487
2003,50,M,Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Y,4.519,91.699
2004,32,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.695,109.356
2004,37,M,Married,Black,College Grad,Middle Atlantic,Information,Good,Y,4.653,104.922
2006,19,M,Never Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.176,65.111
2006,32,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.342,76.894
2004,42,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.602,99.689
2009,26,M,Never Married,White,Some College,Middle Atlantic,Industrial,Good,N,4.602,99.689
2009,46,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.061,157.701
2009,18,M,Never Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,3.903,49.555
2005,43,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.505,90.482
2003,62,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.716,111.721
2008,44,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,5.000,148.413
2005,40,M,Married,White,Some College,Middle Atlantic,Information,Good,Y,4.892,133.232
2006,43,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.903,134.705
2004,32,M,Never Married,Asian,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.778,118.884
2006,48,M,Never Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Y,4.477,87.981
2009,35,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2006,61,M,Married,White,Some College,Middle Atlantic,Information,Good,Y,4.875,130.982
2006,47,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.491,89.243
2005,55,M,Divorced,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.633,102.870
2008,28,M,Divorced,Other,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.342,76.894
2008,52,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Good,N,5.009,149.695
2009,27,M,Never Married,Black,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.633,102.870
2006,22,M,Married,Black,Some College,Middle Atlantic,Information,Very Good,Y,4.505,90.482
2006,20,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.247,69.929
2006,42,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.672,106.922
2007,29,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,N,4.477,87.981
2003,31,M,Never Married,White,College Grad,Middle Atlantic,Information,Good,Y,4.699,109.834
2008,59,M,Divorced,White,Some College,Middle Atlantic,Information,Good,Y,5.021,151.591
2008,36,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,5.000,148.413
2007,32,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.204,66.962
2005,32,M,Never Married,White,Some College,Middle Atlantic,Information,Good,Y,4.643,103.902
2006,25,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.602,99.689
2008,43,M,Married,White,Some College,Middle Atlantic,Information,Very Good,N,4.903,134.705
2008,44,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,3.778,43.735
2009,57,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.760,116.707
2006,49,M,Married,Black,College Grad,Middle Atlantic,Information,Very Good,Y,4.954,141.775
2007,41,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.973,144.478
2006,38,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.903,134.705
2004,58,M,Married,White,< HS Grad,Middle Atlantic,Information,Good,Y,4.778,118.884
2004,59,M,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,N,5.243,189.244
2005,39,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.079,160.642
2006,60,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.565,96.032
2007,56,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.710,111.065
2008,44,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,5.000,148.413
2008,70,M,Married,Black,Some College,Middle Atlantic,Information,Very Good,Y,4.602,99.689
2009,27,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,N,4.398,81.283
2004,47,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.778,118.884
2003,41,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.845,127.116
2008,29,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.653,104.922
2009,42,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.724,112.649
2007,51,M,Divorced,White,College Grad,Middle Atlantic,Information,Good,Y,5.641,281.746
2009,47,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.740,114.478
2008,48,M,Married,Black,HS Grad,Middle Atlantic,Industrial,Good,Y,4.716,111.721
2003,39,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.903,134.705
2005,23,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.322,75.356
2007,31,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.785,119.741
2005,59,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.778,118.884
2003,19,M,Never Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,3.301,27.141
2009,42,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.204,182.021
2004,35,M,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.176,65.111
2007,38,M,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Y,4.954,141.775
2006,45,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.740,114.476
2008,58,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,N,4.910,135.598
2006,26,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.763,117.147
2003,30,M,Never Married,Asian,HS Grad,Middle Atlantic,Information,Very Good,N,4.602,99.689
2006,54,M,Separated,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.627,277.799
2008,38,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.544,94.073
2005,44,M,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.544,94.073
2003,52,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,N,4.568,96.371
2004,73,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.322,75.356
2006,65,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.653,104.922
2003,28,M,Married,White,College Grad,Middle Atlantic,Information,Good,N,4.556,95.231
2009,53,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.000,54.598
2006,53,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.491,89.243
2008,52,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.978,145.144
2009,27,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.573,96.867
2003,57,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.875,130.982
2004,32,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.431,84.046
2007,51,M,Never Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.998,148.155
2008,43,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,3.903,49.555
2004,50,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.954,141.775
2004,53,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.748,115.375
2007,54,M,Married,Asian,< HS Grad,Middle Atlantic,Industrial,Good,N,4.176,65.111
2007,24,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.447,85.384
2008,40,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.623,101.824
2003,30,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,4.556,95.231
2003,45,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.602,99.689
2007,55,M,Divorced,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.991,147.117
2003,45,M,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.944,140.398
2004,44,M,Never Married,Black,College Grad,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2004,37,M,Widowed,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.845,127.116
2008,41,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.748,115.375
2007,44,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.079,59.097
2007,52,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.342,76.894
2009,55,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.954,141.775
2003,43,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.261,70.910
2009,27,M,Never Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.301,200.543
2006,43,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.580,97.493
2007,46,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.602,99.689
2003,30,M,Married,White,Some College,Middle Atlantic,Information,Good,Y,5.230,186.877
2003,43,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.398,81.283
2005,48,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,5.079,160.642
2003,33,M,Never Married,Black,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.158,63.967
2008,29,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.477,87.981
2005,24,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.301,73.776
2009,52,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.978,145.144
2005,50,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,N,4.954,141.775
2005,24,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.342,76.894
2003,42,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.820,123.909
2004,53,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.778,118.884
2008,49,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.632,279.197
2004,46,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.000,54.598
2008,40,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,5.041,154.685
2003,41,M,Never Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.193,180.030
2006,41,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2009,36,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.477,87.981
2003,34,M,Married,Black,Some College,Middle Atlantic,Information,Good,N,4.519,91.699
2004,24,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,N,4.079,59.097
2008,44,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.820,123.909
2007,33,M,Married,Black,College Grad,Middle Atlantic,Information,Very Good,N,4.699,109.834
2007,25,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.544,94.073
2005,40,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.763,117.147
2007,48,M,Never Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.176,65.111
2005,56,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.580,97.493
2005,25,M,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,N,4.771,118.020
2005,44,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.954,141.775
2003,27,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.755,116.177
2006,58,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.322,75.356
2008,52,M,Divorced,Black,College Grad,Middle Atlantic,Information,Very Good,Y,4.556,95.231
2007,60,M,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,Good,Y,4.716,111.721
2008,39,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.643,103.902
2004,51,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.991,147.117
2007,31,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.477,87.981
2005,45,M,Widowed,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.778,118.884
2005,43,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.613,100.764
2008,45,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.792,120.589
2004,40,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,5.267,193.867
2008,46,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.778,118.884
2009,51,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.591,267.901
2006,47,M,Divorced,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.161,174.403
2004,52,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.898,133.972
2003,31,M,Divorced,White,HS Grad,Middle Atlantic,Information,Very Good,Y,5.041,154.685
2007,40,M,Married,Black,College Grad,Middle Atlantic,Information,Very Good,Y,5.041,154.685
2009,26,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2004,49,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.556,95.231
2009,38,M,Divorced,White,Some College,Middle Atlantic,Industrial,Good,N,4.699,109.834
2005,50,M,Married,Other,< HS Grad,Middle Atlantic,Information,Good,N,4.716,111.721
2006,63,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.903,134.705
2008,35,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.453,85.901
2008,29,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.778,118.884
2008,33,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.477,87.981
2007,29,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.531,92.896
2007,62,M,Divorced,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2008,45,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.826,124.720
2003,56,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.851,127.901
2003,58,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.580,97.493
2007,39,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,5.290,198.350
2005,49,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.531,92.896
2004,24,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,N,4.544,94.073
2003,61,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,5.000,148.413
2008,58,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.380,79.855
2009,47,M,Married,Asian,Some College,Middle Atlantic,Information,Very Good,N,4.778,118.884
2004,41,M,Separated,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.477,87.981
2008,71,M,Married,White,< HS Grad,Middle Atlantic,Information,Good,Y,4.544,94.073
2006,47,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,5.011,150.070
2005,38,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,5.176,176.990
2005,31,M,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.301,73.776
2007,56,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,4.829,125.124
2006,44,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.627,277.799
2003,33,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.681,107.904
2005,36,M,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,N,4.107,60.740
2006,31,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.522,92.036
2004,55,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2005,48,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,N,4.204,66.962
2005,50,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.740,114.476
2006,42,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,N,5.140,170.695
2008,25,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.875,130.982
2008,55,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.845,127.116
2004,28,M,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,4.763,117.147
2003,30,M,Married,Other,< HS Grad,Middle Atlantic,Information,Good,N,4.813,123.090
2008,46,M,Never Married,Black,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.792,120.589
2004,48,M,Divorced,White,Advanced Degree,Middle Atlantic,Information,Good,Y,4.875,130.982
2006,42,M,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.398,81.283
2008,23,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,N,3.602,36.674
2003,60,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,N,4.653,104.922
2008,34,M,Married,Black,< HS Grad,Middle Atlantic,Information,Very Good,Y,4.310,74.413
2003,45,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.860,129.068
2007,28,M,Never Married,White,Some College,Middle Atlantic,Industrial,Good,N,4.432,84.100
2004,33,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.225,185.919
2008,58,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.663,105.928
2008,47,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.097,163.516
2003,24,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.146,63.189
2008,56,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,N,4.903,134.705
2004,56,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.795,120.927
2005,23,M,Never Married,Other,College Grad,Middle Atlantic,Information,Good,Y,4.544,94.073
2003,56,M,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Y,4.886,132.488
2003,45,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.892,133.232
2009,58,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.978,145.144
2007,30,M,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2009,46,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,N,5.013,150.331
2004,48,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,5.631,278.964
2006,50,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.588,98.269
2008,43,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.602,99.689
2006,37,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.544,94.073
2003,49,M,Divorced,White,Some College,Middle Atlantic,Information,Very Good,N,5.176,176.990
2009,31,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,5.114,166.325
2009,54,M,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.544,94.073
2007,52,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.940,139.703
2003,70,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.362,78.392
2005,30,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.954,141.776
2006,44,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.756,116.265
2003,34,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,5.000,148.413
2007,38,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.477,87.981
2006,28,M,Separated,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.505,90.482
2005,38,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.954,141.775
2003,39,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.145,63.093
2008,52,M,Never Married,White,College Grad,Middle Atlantic,Information,Good,Y,4.176,65.111
2004,34,M,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,5.021,151.591
2003,33,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.813,123.090
2007,45,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,4.778,118.884
2006,58,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.380,79.855
2003,38,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.644,104.005
2007,63,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,N,4.017,55.536
2007,38,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.602,99.689
2007,31,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.602,99.689
2007,53,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.265,193.453
2009,21,M,Never Married,Black,HS Grad,Middle Atlantic,Information,Good,Y,4.633,102.870
2006,38,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.104,164.647
2004,18,M,Never Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.243,69.619
2008,28,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2003,33,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.740,114.476
2004,32,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.602,99.689
2009,29,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.556,95.231
2005,28,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.415,82.680
2005,42,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.762,116.943
2007,28,M,Widowed,White,< HS Grad,Middle Atlantic,Information,Good,N,4.000,54.598
2009,36,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.929,138.299
2007,47,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.875,130.982
2007,53,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.641,281.746
2003,48,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.097,163.516
2006,36,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,5.189,179.215
2007,55,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.839,126.324
2008,37,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.255,70.476
2009,68,M,Married,White,College Grad,Middle Atlantic,Information,Good,Y,4.771,118.020
2003,65,M,Married,Other,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.267,71.320
2007,37,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,N,4.740,114.476
2007,33,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.929,138.299
2003,19,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.000,54.598
2004,50,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.544,94.073
2004,22,M,Never Married,White,Some College,Middle Atlantic,Industrial,Good,N,4.387,80.430
2004,40,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.491,89.243
2008,45,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.763,117.147
2009,36,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,N,4.845,127.116
2005,37,M,Married,Asian,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.398,81.283
2003,24,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,3.959,52.407
2007,66,M,Married,Black,< HS Grad,Middle Atlantic,Information,Very Good,Y,4.602,99.689
2004,35,M,Married,Asian,< HS Grad,Middle Atlantic,Industrial,Good,N,4.146,63.189
2009,33,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.279,196.125
2005,44,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.623,101.824
2004,48,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.681,107.904
2009,47,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,3.937,51.240
2004,41,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2005,55,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.146,63.189
2008,74,M,Divorced,Black,Advanced Degree,Middle Atlantic,Information,Very Good,N,5.000,148.413
2007,33,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.602,99.689
2003,62,M,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Y,4.875,130.982
2004,56,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.623,101.824
2006,29,M,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.602,99.689
2009,56,M,Never Married,Black,< HS Grad,Middle Atlantic,Information,Good,N,4.380,79.855
2009,47,M,Married,Black,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.079,160.642
2005,45,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.903,134.705
2007,44,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.079,160.642
2004,25,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.519,91.699
2005,45,M,Divorced,Black,Some College,Middle Atlantic,Information,Very Good,N,4.322,75.356
2005,40,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.914,136.158
2003,56,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.903,134.705
2005,56,M,Married,Asian,Some College,Middle Atlantic,Information,Very Good,Y,4.407,81.985
2003,47,M,Married,Asian,College Grad,Middle Atlantic,Industrial,Very Good,Y,5.176,176.990
2007,39,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.778,118.886
2005,38,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.798,121.263
2009,48,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.544,94.073
2005,44,M,Married,Black,HS Grad,Middle Atlantic,Industrial,Good,N,4.602,99.689
2003,42,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,N,4.820,123.909
2009,55,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.778,118.884
2006,61,M,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,N,4.415,82.680
2006,39,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.398,81.283
